,0
51.35,10962,0
51.36,10965,0
51.38,10968,0
51.40,10965,0
51.42,10966,0
51.44,10987,0
51.46,10961,0
51.48,10960,0
51.50,10970,0
51.52,10968,0
51.54,10948,0
51.56,10947,0
51.58,10952,0
51.60,10967,0
51.62,10960,0
51.64,10950,0
51.66,10962,0
51.68,10963,0
51.70,10948,0
51.72,10959,0
51.74,10945,0
51.76,10939,0
51.78,10940,0
51.80,10938,0
51.82,10937,0
51.84,10935,0
51.86,10943,0
51.88,10949,0
51.90,10973,0
51.92,10954,0
51.94,10978,0
51.96,10978,0
51.98,10959,0
52.00,10963,0
52.02,10971,0
52.04,10968,0
52.06,10968,0
52.08,10973,0
52.10,10994,0
52.12,10983,0
52.14,10977,0
52.16,10987,0
52.18,10998,0
52.20,11026,0
52.22,11009,0
52.24,11011,0
52.26,11014,0
52.28,11006,0
52.29,11006,0
52.31,10985,0
52.33,10981,0
52.35,10984,0
52.37,10998,0
52.39,10983,0
52.41,10996,0
52.43,10998,0
52.45,10980,0
52.47,11000,0
52.49,11003,0
52.51,11006,0
52.53,10996,0
52.55,10986,0
52.57,10983,0
52.59,10967,0
52.61,10962,0
52.63,10961,0
52.65,10959,0
52.67,10956,0
52.69,10955,0
52.71,10960,0
52.73,10952,0
52.75,10954,0
52.77,10977,0
52.79,10958,0
52.81,10960,0
52.83,10992,0
52.85,11001,0
52.87,10986,0
52.89,11017,0
52.91,11006,0
52.93,11001,0
52.95,11000,0
52.97,10998,0
52.99,11000,0
53.01,11000,0
53.03,10998,0
53.05,11000,0
53.07,10997,0
53.09,11001,0
53.11,11006,0
53.13,11017,0
53.15,11004,0
53.17,11020,0
53.19,11030,0
53.21,11015,0
53.22,11015,0
53.24,11043,0
53.26,11017,0
53.28,11011,0
53.30,11031,0
53.32,11016,0
53.34,11004,0
53.36,11034,0
53.38,11024,0
53.40,11015,0
53.42,11021,0
53.44,11022,0
53.46,11031,0
53.48,11031,0
53.50,11036,0
53.52,11065,0
53.54,11083,0
53.56,11067,0
53.58,11088,0
53.60,11082,0
53.62,11046,0
53.64,11051,0
53.66,11032,0
53.68,11023,0
53.70,11024,0
53.72,11029,0
53.74,11031,0
53.76,11041,0
53.78,11027,0
53.80,11041,0
53.82,11024,0
53.84,10992,0
53.86,10982,0
53.88,10991,0
53.90,10959,0
53.92,10949,0
53.94,10970,0
53.96,10938,0
53.98,10936,0
54.00,10961,0
54.02,10965,0
54.04,10946,0
54.06,10962,0
54.08,10958,0
54.10,10961,0
